SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,mbID,Energy,ArtistFamiliarity,Hotness,end_of_fade_in,key,keyConfidence,Loudness,mode,mode_confidence,start_of_fade_out
8001,SOTHXZR12A6D4FAA86,53684,Put It On Paper,ARX2R5A1187FB5B85B,33.74831,Joliet IL &amp; Atlanta GA,-84.39111,Ann Nesby / Jamecia Bennett,0,340.79302,6,0.374,110.058,1,0,Advice,0,3efd41cb-ac64-45a4-9483-9fe9039f2de3,0,0.44791395761,0.422575523417,0.287,6,0.374,-2.871,1,0.436,324.795
8002,SOOKYPR12AB018AD0C,818242,Endzeit Bunkertracks - Act IV: The Alfa Matrix Selection,ARY02GH1187B99B223,,Edmonton Alberta Canada,,Zombie Girl,0,256.73098,11,0.207,120.103,4,1,The Darkness (Komor Kommando Mix),2009,050bd499-feba-4321-93d7-27b96a60d504,0,0.639165318057,0.443395584874,0,11,0.207,-7.479,0,0.548,245.412
8003,SOFFGJY12A8C138CA8,255671,Lo Mejor De Alfredo Gutierrez Y Su Conjunto - 24 Temas Originales,ARARFT81187FB41EEA,,,,Alfredo Gutiérrez,0,171.80689,2,0.609,94.937,4,0.438,Dos Mujeres,0,490f9c79-d923-4f65-8618-a9b00cf2cf2c,0,0.378130134363,0.279255759882,0.479,2,0.609,-9.486,1,0.608,171.807
8004,SOPZQPR12A8C137F34,155036,Le Baptême,AR828WL1187FB47E81,,NY - New York City,,M,0,215.95383,6,0.093,93.395,1,0.533,Je Suis Une Cigarette,0,eeb78f0d-c8a2-449f-83f7-84c811976e47,0,0.589512634141,0.384902249589,0,6,0.093,-16.105,1,0.14,211.516
8005,SOJBRNM12A8C134D10,148122,Steve Camp Compact Favorites,ARABFU01187FB46712,,,,STEVE CAMP,0,220.89098,2,0.354,136.274,4,0,Upon This Rock (Fire And Ice Version),0,a4a45cee-c801-43b0-a26d-bc1e81b4fe03,0,0.527078763904,0.314428180796,0.994,2,0.354,-11.508,0,0.546,211.766
8006,SOJILXR12A8C141B4E,221691,Sangre Gitana,AR2PT4M1187FB55B1A,,,,Los Chichos,0,199.96689,4,0.821,85.055,4,0.028,Nieve,0,d54ea4a6-0b9c-4e47-bed0-289ae9ff4037,0,0.561589945857,0.420570307208,0,4,0.821,-9.588,0,0.674,190.816
8007,SOXMFQR12AC4686E84,598147,Furious EP,ARC3WPR1187B9A183E,,,,Non Stop DJs,0,222.24934,1,0.419,123.975,5,1,Hydraulic Pimp,2004,e9d4c98e-aa52-4855-bcea-657f7bc97b1f,0,0.415280900364,0.284260942742,0,1,0.419,-7.379,1,0.37,218.72
8008,SOLAEZZ12A58A77692,257800,Cactuses Come In Flocks,ARNUPIM11F4C83BD4D,,,,Melt Banana,0,27.89832,9,0.008,137.645,3,0,So Far So Bad So What?,0,,0,0.639249551657,0.413885097666,0.136,9,0.008,-3.959,0,0.291,27.898
8009,SOEAXVC12AB018CBE1,810618,Live at Gruene Hall,ARE8V001187B994A56,30.2676,Austin Texas,-97.74298,Guy Forsyth,0,261.8771,8,0.162,95.229,1,0,When I Think About Love,0,dc1b06cb-45f1-48ca-bee7-397de796fb02,0,0.568210414415,0.332352463914,0,8,0.162,-10.954,1,0.446,251.199
8010,SODKCCT12A67ADA321,345570,Ministry of Sound Presents 100,AROI96Z1187B9A5304,,,,Mish Mash,0,211.90485,0,0.895,124.043,4,1,Speechless,2006,a6f57754-4cdf-4661-8a4d-683dd0389c78,0,0.505644261572,0.351210536532,2.223,0,0.895,-7.963,1,0.52,201.747
8011,SOUIITE12A6D4FC4EA,581460,Christmas To Elvis from The Jordanaires,AR358YS1187FB44A29,37.20897,Springfield MO,-93.29156,The Jordanaires & Orion,0,86.09914,4,0.559,203.792,1,0,Up on the House Top,0,42b93918-afa2-4f77-b231-b1244606900d,0,0.382308282837,0.283562595981,0,4,0.559,-15.002,1,0.318,79.999
8012,SOORCRP12AC468E63A,735421,Time Is Ripe,ARC3EZO1187B9B9314,-24.9162,Australia,133.39311,Angels,0,235.17995,6,0.398,70.116,4,0,Fifi,0,b38141b7-be82-46b9-aff2-c20ce062dc99,0,0.699035755055,0.43546381745,0.165,6,0.398,-6.394,1,0.483,222.61
8013,SOTXCIT12AB0180723,448651,Hobson's Choice,ARX83ZF1187FB3B66A,,,,Helen Hobson,0,176.97914,8,0.665,107.537,7,0.738,Merry-Go-Round,1996,80648bde-31dd-41c8-89fc-2dc1e00f692c,0,0.281714298343,0,2.032,8,0.665,-24.633,1,0.624,167.079
8014,SOLTJYW12A81C23712,107850,Lost,ARA65601187FB57BD9,40.71455,New York NY,-74.00712,Roger Sanchez,0,589.87057,0,0.03,127.999,4,0.275,Lost,2006,1c513fb9-e6b7-4915-b4d3-026681c83065,0,0.718672349752,0.451648407322,0.514,0,0.03,-15.542,1,0.346,546.261
8015,SODMDHD12AB018C558,800656,Sincerely_,ARJNUTI12802FDFB5A,,,,Hard Romantic,0,149.21098,5,0.511,69.018,5,0.203,Sincerely_,0,,0,0.405592791242,0,0.473,5,0.511,-23.374,0,0.648,149.211
8016,SOLXXZC12A58A7B02D,600607,Chakra Suite,AROC6N61187FB40B14,,,,Steven Halpern,0,223.73832,9,0.742,205.204,4,0.227,6th Chakra: Keynote A - Chakra Suite (Solo Electric Piano Plus Synths),2001,37986d18-e8af-4502-8e08-2a87d7e5853f,0,0.525475741913,0.372393096876,0,9,0.742,-20.879,1,0.847,208.718
8017,SOWSGUG12AB0187CC7,505846,Voice From Home,AR2S4CA1187B99632E,,,,FFH,0,218.22649,11,0.539,61.117,4,0.516,Listen,2005,652ce480-5f04-4601-9e2d-9b41b42a5ce6,0,0.601245988381,0.461026520548,2.606,11,0.539,-15.135,1,0.459,211.185
8018,SONCSNW12A6D4F62D7,74971,Peachy Pink,AREN9121187B99D57A,40.71455,New York,-74.00712,Elvira,0,291.89179,4,0.442,124.028,4,1,Momentum,0,b43fa07d-c644-48b7-8a61-63979c41b542,0,0.507258203841,0.245973154852,0.223,4,0.442,-8.094,0,0.411,276.132
8019,SOBSCTH12A8C138C4B,202996,Ketu,ARYUHNV1187FB482AF,,,,Megadrums,0,342.88281,0,1,72.677,1,0,Primal Forces,0,acf836d7-c773-40ee-860b-5f4024e8e97f,0,0.327233191416,0.0637249864633,0,0,1,-25.521,1,0.772,333.589
8020,SOMIFOI12A6D4F6A76,77351,Trauma,AROTIMO1187FB532BF,,Compton CA,,DJ Quik,0,227.57832,11,0.021,94.393,4,1,Ladies And Thugs,0,542f4f08-4d8f-48db-a414-d3a33a62929f,0,0.712098902128,0.413393911287,0.172,11,0.021,-4.753,0,0.281,222.708
8021,SOGDDAA12A8C1391A9,291706,The Same Man (For Matthew),ARHBV1W1187B9B496C,30.2676,Austin TX,-97.74298,Rachel Loy,0,199.8624,7,0.694,72.211,4,0.951,The Same Man (For Matthew),0,1e956437-7aaf-4603-9d2c-f9a717009dd3,0,0.569547157239,0.323550215832,2.374,7,0.694,-8.863,1,0.677,193.027
8022,SOEZIKR12AB0184E1D,661646,Louder VIP,AR9VEMN1187FB4D75B,51.50632,London,-0.12714,Caspa,0,272.32608,1,0.805,93.382,1,1,Power Shower,0,dc9b8085-fe1e-4b83-8d41-6dd8d295513c,0,0.657578621198,0.422364007618,0,1,0.805,-6.852,0,0.551,269.886
